日期,天气状况,气温,风力风向
2011年01月01日,晴/多云,18℃/3℃,北风3-4级/北风3-4级
2011年01月02日,多云/多云,19℃/9℃,无持续风向微风/无持续风向微风
2011年01月03日,小雨/小雨,11℃/5℃,无持续风向微风/无持续风向微风
2011年01月04日,小雨/阴,8℃/5℃,无持续风向微风/无持续风向微风
2011年01月05日,阴/小雨,14℃/7℃,无持续风向微风/无持续风向微风
2011年01月06日,小雨/阴,9℃/4℃,北风4-5级/北风3-4级
2011年01月07日,多云/多云,12℃/5℃,北风3-4级/无持续风向微风
2011年01月08日,多云/多云,15℃/7℃,无持续风向微风/无持续风向微风
2011年01月09日,多云/阴,13℃/6℃,北风3-4级/北风3-4级
2011年01月10日,阴/小雨,12℃/5℃,北风3-4级/北风3-4级
2011年01月11日,小雨/小雨,8℃/4℃,北风3-4级/无持续风向微风
2011年01月12日,小雨/阴,10℃/7℃,无持续风向微风/无持续风向微风
2011年01月13日,阴/阴,13℃/10℃,无持续风向微风/无持续风向微风
2011年01月14日,多云/多云,16℃/8℃,无持续风向微风/无持续风向微风
2011年01月15日,多云/晴,15℃/5℃,北风3-4级/东北风3-4级
2011年01月16日,晴/晴,14℃/3℃,无持续风向微风/无持续风向微风
2011年01月17日,晴/多云,15℃/7℃,无持续风向微风/无持续风向微风
2011年01月18日,多云/阴,15℃/8℃,无持续风向微风/无持续风向微风
2011年01月19日,多云/阴,16℃/9℃,无持续风向微风/无持续风向微风
2011年01月20日,阴/阴,14℃/6℃,无持续风向微风/无持续风向微风
2011年01月21日,阴/晴,15℃/3℃,无持续风向微风/无持续风向微风
2011年01月22日,多云/多云,15℃/7℃,无持续风向微风/无持续风向微风
2011年01月23日,多云/多云,14℃/7℃,无持续风向微风/无持续风向微风
2011年01月24日,多云/多云,16℃/9℃,无持续风向微风/无持续风向微风
2011年01月25日,多云/多云,13℃/8℃,无持续风向微风/无持续风向微风
2011年01月26日,多云/多云,15℃/9℃,无持续风向微风/无持续风向微风
2011年01月27日,多云/阴,17℃/10℃,无持续风向微风/无持续风向微风
2011年01月28日,阴/多云,14℃/7℃,北风3-4级/北风3-4级
2011年01月29日,多云/多云,13℃/5℃,北风3-4级/北风3-4级
2011年01月30日,多云/多云,14℃/5℃,北风3-4级/北风3-4级
2011年01月31日,多云/晴,16℃/8℃,无持续风向微风/无持续风向微风
2011年02月01日,多云/多云,16℃/9℃,无持续风向微风/无持续风向微风
2011年02月02日,多云/晴,18℃/10℃,无持续风向微风/无持续风向微风
2011年02月03日,多云/多云,21℃/11℃,无持续风向微风/无持续风向微风
2011年02月04日,晴/晴,23℃/9℃,无持续风向微风/无持续风向微风
2011年02月05日,晴/晴,24℃/10℃,无持续风向微风/无持续风向微风
2011年02月06日,晴/多云,25℃/11℃,无持续风向微风/无持续风向微风
2011年02月07日,多云/多云,26℃/14℃,无持续风向微风/无持续风向微风
2011年02月08日,多云/多云,26℃/13℃,无持续风向微风/无持续风向微风
2011年02月09日,多云/多云,26℃/15℃,无持续风向微风/无持续风向微风
2011年02月10日,多云/小雨,23℃/11℃,无持续风向微风/无持续风向微风
2011年02月11日,阴/阴,16℃/10℃,东北风3-4级/北风3-4级
2011年02月12日,阴/小雨,15℃/8℃,北风3-4级/无持续风向微风
2011年02月13日,中雨/阴,11℃/6℃,无持续风向微风/无持续风向微风
2011年02月14日,阴/阴,12℃/7℃,无持续风向微风/无持续风向微风
2011年02月15日,小雨/小雨,11℃/7℃,无持续风向微风/无持续风向微风
2011年02月16日,小雨/阴,11℃/8℃,无持续风向微风/无持续风向微风
2011年02月17日,雾/雾,14℃/10℃,无持续风向微风/无持续风向微风
2011年02月18日,阴/小雨,15℃/8℃,无持续风向微风/无持续风向微风
2011年02月19日,小雨/小雨,11℃/9℃,无持续风向≤3级/无持续风向≤3级
2011年02月20日,阴/多云,17℃/10℃,无持续风向≤3级/无持续风向≤3级
2011年02月21日,阴/阴,19℃/13℃,无持续风向≤3级/无持续风向≤3级
2011年02月22日,多云/多云,21℃/14℃,无持续风向≤3级/无持续风向≤3级
2011年02月23日,多云/阴,20℃/15℃,无持续风向≤3级/无持续风向≤3级
2011年02月24日,多云/阴,21℃/14℃,无持续风向≤3级/无持续风向≤3级
2011年02月25日,多云/多云,26℃/14℃,无持续风向≤3级/无持续风向≤3级
2011年02月26日,多云/多云,25℃/17℃,无持续风向≤3级/无持续风向≤3级
2011年02月27日,多云/多云,25℃/18℃,无持续风向≤3级/无持续风向≤3级
2011年02月28日,晴/多云,27℃/17℃,无持续风向≤3级/无持续风向≤3级
2011年03月01日,多云/多云,22℃/12℃,无持续风向≤3级/无持续风向≤3级
2011年03月02日,多云/阴,19℃/12℃,北风3-4级/无持续风向≤3级
2011年03月03日,多云/多云,22℃/11℃,无持续风向≤3级/无持续风向≤3级
2011年03月04日,多云/多云,21℃/11℃,无持续风向≤3级/无持续风向≤3级
2011年03月05日,多云/多云,23℃/14℃,无持续风向≤3级/无持续风向≤3级
2011年03月06日,阴/小雨,23℃/13℃,无持续风向≤3级/北风3-4级
2011年03月07日,阴/阴,17℃/12℃,北风3-4级/北风3-4级
2011年03月08日,小雨/小雨,19℃/12℃,无持续风向≤3级/无持续风向≤3级
